id,PES1
0,1
1,1
2,2
3,2
4,1
5,2
6,2
7,2
8,2
9,2
10,1
11,2
12,1
13,2
14,1
15,1
16,2
17,1
18,2
19,2
20,1
21,1
22,2
23,1
24,2
25,1
26,1
27,1
28,1
29,2
30,1
31,2
32,2
33,1
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,1
45,2
46,1
47,2
48,2
49,2
50,1
51,1
52,1
53,2
54,2
55,2
56,1
57,1
58,2
59,1
60,1
61,1
62,1
63,2
64,2
65,2
66,1
67,2
68,1
69,1
70,2
71,2
72,2
73,1
74,2
75,2
76,1
77,2
78,1
79,2
80,1
81,1
82,2
83,1
84,1
85,2
86,2
87,1
88,2
89,1
90,1
91,2
92,2
93,2
94,1
95,1
96,2
97,2
98,1
99,2
100,2
101,1
102,2
103,1
104,2
105,1
106,2
107,1
108,2
109,1
110,2
111,2
112,1
113,1
114,2
115,2
116,2
117,1
118,2
119,1
120,2
121,1
122,2
123,1
124,2
125,1
126,1
127,2
128,2
129,1
130,2
131,2
132,2
133,1
134,1
135,1
136,1
137,2
138,1
139,2
140,1
141,1
142,2
143,2
144,1
145,2
146,1
147,2
148,2
149,2
150,1
151,1
152,2
153,1
154,2
155,2
156,2
157,2
158,2
159,2
160,1
161,2
162,2
163,1
164,2
165,2
166,1
167,2
168,2
169,1
170,2
171,2
172,2
173,1
174,1
175,2
176,2
177,2
178,1
179,1
180,1
181,1
182,2
183,1
184,2
185,2
186,2
187,2
188,1
189,1
190,1
191,1
192,2
193,2
194,2
195,2
196,2
197,1
198,2
199,2
200,2
201,2
202,1
203,1
204,2
205,2
206,1
207,2
208,2
209,1
210,1
211,2
212,1
213,2
214,2
215,1
216,2
217,1
218,1
219,1
220,2
221,1
222,2
223,1
224,1
225,1
226,1
227,1
228,2
229,1
230,2
231,1
232,2
233,1
234,1
235,1
236,2
237,1
238,1
239,1
240,2
241,2
242,2
243,1
244,1
245,2
246,2
247,1
248,2
249,1
250,1
251,2
252,2
253,1
254,1
255,1
256,1
257,1
258,2
259,2
260,1
261,1
262,1
263,1
264,2
265,1
266,1
267,2
268,1
269,1
270,2
271,1
272,1
273,1
274,2
275,1
276,1
277,2
278,1
279,1
280,2
281,2
282,2
283,1
284,1
285,1
286,2
287,2
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,2
296,2
297,2
298,2
299,1
300,2
301,2
302,2
303,1
304,2
305,1
306,1
307,2
308,2
309,2
310,2
311,2
312,1
313,2
314,2
315,1
316,1
317,1
318,1
319,1
320,2
321,1
322,2
323,1
324,2
325,2
326,2
327,2
328,1
329,2
330,1
331,1
332,2
333,2
334,2
335,1
336,2
337,1
338,1
339,1
340,1
341,2
342,2
343,2
344,1
345,1
346,1
347,1
348,2
349,2
350,1
351,1
352,1
353,1
354,2
355,1
356,2
357,1
358,2
359,2
360,2
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,2
372,2
373,2
374,1
375,2
376,1
377,1
378,2
379,2
380,2
381,1
382,1
383,1
384,2
385,2
386,1
387,2
388,2
389,2
390,1
391,2
392,1
393,1
394,2
395,1
396,2
397,1
398,2
399,1
400,2
401,1
402,2
403,2
404,1
405,2
406,2
407,2
408,1
409,2
410,2
411,2
412,1
413,1
414,1
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,1
425,2
426,1
427,1
428,1
429,2
430,2
431,1
432,1
433,1
434,1
435,2
436,1
437,1
438,1
439,2
440,2
441,1
442,2
443,1
444,2
445,1
446,2
447,2
448,1
449,1
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,1
458,1
459,2
460,1
461,2
462,2
463,1
464,2
465,2
466,1
467,2
468,2
469,1
470,2
471,2
472,2
473,1
474,2
475,1
476,1
477,1
478,2
479,1
480,2
481,2
482,2
483,1
484,1
485,1
486,1
487,1
488,1
489,2
490,2
491,1
492,2
493,1
494,2
495,1
496,2
497,2
498,1
499,1
500,1
501,2
502,1
503,1
504,2
505,2
506,2
507,1
508,2
509,1
510,2
511,1
512,2
513,2
514,2
515,2
516,2
517,2
518,1
519,2
520,1
521,1
522,1
523,1
524,2
525,2
526,1
527,1
528,2
529,1
530,1
531,2
532,1
533,1
534,2
535,1
536,2
537,1
538,1
539,2
540,1
541,1
542,2
543,1
544,1
545,2
546,1
547,1
548,1
549,2
550,1
551,2
552,1
553,2
554,2
555,2
556,1
557,2
558,2
559,2
560,1
561,1
562,2
563,1
564,1
565,2
566,1
567,1
568,2
569,1
570,1
571,2
572,1
573,2
574,1
575,1
576,2
577,1
578,1
579,2
580,2
581,1
582,2
583,2
584,1
585,1
586,1
587,2
588,1
589,1
590,1
591,1
592,2
593,2
594,2
595,2
596,2
597,2
598,2
599,2
600,1
601,2
602,2
603,1
604,1
605,2
606,2
607,2
608,2
609,1
610,1
611,1
612,2
613,2
614,2
615,2
616,2
617,1
618,2
619,2
620,2
621,1
622,1
623,2
624,2
625,2
626,1
627,1
628,1
629,1
630,2
631,1
632,2
633,1
634,2
635,2
636,1
637,2
638,2
639,1
640,2
641,2
642,1
643,2
644,2
645,2
646,1
647,1
648,1
649,2
650,1
651,2
652,1
653,1
654,2
655,2
656,2
657,1
658,2
659,2
660,2
661,1
662,2
663,1
664,2
665,2
666,2
667,2
668,1
669,2
670,2
671,2
672,1
673,2
674,1
675,2
676,1
677,1
678,1
679,2
680,1
681,2
682,1
683,1
684,2
685,2
686,2
687,1
688,2
689,2
690,1
691,2
692,2
693,1
694,2
695,2
696,1
697,2
698,2
699,1
700,2
701,2
702,2
703,2
704,2
705,1
706,1
707,1
708,2
709,2
710,1
711,2
712,2
713,2
714,1
715,2
716,2
717,1
718,2
719,2
720,1
721,2
722,1
723,2
724,1
725,1
726,2
727,2
728,2
729,1
730,1
731,2
732,1
733,2
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,2
742,1
743,2
744,2
745,2
746,1
747,1
748,1
749,1
750,2
751,1
752,2
753,1
754,2
755,2
756,1
757,1
758,2
759,1
760,2
761,2
762,1
763,2
764,1
765,1
766,2
767,2
768,2
769,2
770,2
771,1
772,1
773,1
774,1
775,1
776,2
777,2
778,1
779,2
780,1
781,2
782,1
783,2
784,2
785,2
786,1
787,2
788,1
789,2
790,1
791,2
792,1
793,2
794,1
795,1
796,1
797,2
798,1
799,1
800,1
801,2
802,1
803,2
804,2
805,1
806,1
807,2
808,1
809,2
810,1
811,2
